Taxon,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,Other names,Notes,Trophic strategy,Cell Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Ingestion,Behavior,Mutualistic Host,Symbiotic,Symbiont location,Host Specialization,Symbiont Specialization,Prey Specialization,Mucilage,Chemical Signal,Nutrient Affinity,Oxygen Tolerance,Salinity,Temperature,Depth,Toxygenity,Benthic Phase,Cyst Spore,Sexual reproduction or division,Ploidy,Genome Size,Presence in other subeuphotic regions?,Presence in extreme environment?,Lab-based studies,Field-based studies,Sequencing,Gene expression,Genes of note,Notes on phylogenetic placement,Resources
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Piroplasmorida;Piroplasmorida1;Piroplasmorida1_1;Piroplasmorida1_1_sp.;,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Piroplasmorida,Piroplasmorida1,Piroplasmorida1_1,Piroplasmorida1_1_sp.,Previously included as an order under: Sporozoa; Aconoidasida,"Hemoparasitic. On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Aconoidasida (Class) Piroplasmorida (Order). ",,,Round,,,,,,,,,,,,,Known vectors are ticks or leeches,,,,,,,,,,,,"Binary fission, sporozoan",,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Piroplasmorida;Theileriidae;Theileria3;Theileria3_capreoli;,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Piroplasmorida,Theileriidae,Theileria3,Theileria3_capreoli,Parent: Aconoidasida (Class),"Family Theileriidae lacks subpellicular mictrotubules, inner membrane complex, and micronemes. On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Piroplasmida.",Parasitic,Naked,Elongated,0,Bilateral,Heteropolar,None,,0,Myzocytotic,Passive ambush feeder,,Parasite,,Ticks,,,,,Parasitic,,,,,,,1,,,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium1,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Cryptogregarinorida,Cryptosporidiidae,Cryptosporidium1,NA,"Previously belonged to order Euccidiorida (Ryan and Hijjawi, 2015)","On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Coccidiasina (Subclass) Eucoccidiorida (Order) Eimeriorina (Suborder) Cryptosporidiidae (Family). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina",Parasitic,Naked,Round,0,Spherical,Heteropolar,None,Attached,0,Myzocytotic,Passive Ambush Feeder,,Parasite,Endo,,,vertebrates,,,,,,,,,,1,,Haplodiplont,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,NA,NA,NA,Eugregarinida (NCBI) ,"On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Gregarinasina (Subclass) Eugregarinorida (Order). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Gregarinasina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,NA,NA,,"On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Gregarinasina (Subclass) Eugregarinorida (Order) Aseptatorina (Suborder) Lecudinidae (Family). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Gregarinasina; Eugregarinorida",,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive Ambush Feeder,,Parasite,Endo,,,annelids sipunculids or echiurids,,,,,,,,,,1,,Haplodiplont,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Polyplicariidae;Polyplicarium,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Polyplicariidae,Polyplicarium,NA,Currently classified as Phylum: Myzozoa and Class: Apicomplexa (WoRMS),"Direct Children: P. lacrimae, curvarae, translucidae, citrusae (WoRMS). On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Apicomplexa incertae sedis (Class) Polyplicarium (Genus). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Gregarinasina; Eugregarinorida",Parasitic,Naked,Elongated;Elongated;Elongated;Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive Ambush Feeder,,Parasite,"intestines and other body cavities of marine, freshwater, and terrestiral invertebrates (see Wakeman 2013)",Notomastus tenuis;Notomastus tenuis;Notomastus tenuis;Heteromastus filiformis,,Polychaetes,,,Parasitic,,,,,,,1,In P. citrusae syzygy was side-to-side,,,,,"Samples taken from salt marsh near Cape Cod, marine tidal flat near Greenland, deep-sea methane cold seep near Sagami Bay in Japan",,See pages 94-97 in Wakeman et al. 2013,,,,
Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea_X;Gregarinomorphea_XX;Selenidium1,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,NA,"Class: Conoidasida, Orders: Archigregarinorida, Eugregarinorida, Neogregarinorida Family: Selenidiidae. Esarabdina Mingazzini, 1891 · unaccepted (synonym), Platycystis Léger, 1892 · unaccepted (synonym), Selenocystis Dibb, 1938 · unaccepted (synonym)","Monoxenous: Infecting marine invertebrates. On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Gregarinasina (Subclass) Eugregarinorida (Order) Aseptatorina (Suborder) Selenidiidae (Family) Selenidium (Genus). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Gregarinasina; Archigregarinorida; Selenidiidae",Parasitic,,Other: intestinal trophozoites are either spindle-shaped or veriform,,,polarized,,"trophozoites exhibit a bending, worm-like movement / smooth gliding?",,,,,,intestines of marine invertabrates ,marine invertabrates,,,,,,,,,,,,trophozoites and sporozoites,"nuclear transformation at syzygy , oocytes contain 4 or more sporozoites, occasional scizogony; merogony does not occur in all species",,,Selenidium serpulae have reduced mitochondiria which may enable them to survive in deep ocean environments. Leander (2007). Molecular phylogeny and ultrastructure of Selenidium serpulae from the calcerous tubeworm Serpula vermicularis. ,,,,,,,"Levine, Norman D., 1971. Taxonomy of the Archigregarinorida and Selenidiidae",
Eukaryota;Alveolata;Chrompodellids;Colpodellidea,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,NA,NA,NA,NA,,Colpodellidea not found on WoRMS or NCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,NA,NA,NA,Previous Class listed as Apicomonadea (WoRMS),,predatory flagellates,,,,,,,uses flagella and moves in a zigzag tragectory,,,,,,,,,absorb or suck the contents from the prey that is termed as mizocytosis ,,,,,,,,,,,Longitudinal binary fission,,,,,,,,,,,
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Alphamonaceae,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Alphamonaceae;Alphamonadea_ALPH1;Alphamonadea_ALPH1_sp.;,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,Alphamonadea_ALPH1,Alphamonadea_ALPH1_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Alphamonaceae;Aphamonas;Aphamonas_sp.;,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,Aphamonas,Aphamonas_sp.,Species classified as Alphamonas edax,Status is uncertain (WoRMS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Chromeraceae;Chromera;Chromera_velia;,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Chromeraceae,Chromera,Chromera_velia,Kingdom: Chromista,closests known photosynthetic relative of apicomplexian parasites; can live without host and grows readily in cultures,photosynthetic,Naked,Round,0,Spherical,Heteropolar,None,Attached,1,No,Unmotile Autotroph,Reef Coral,MutualistPhotosynthetic,Ecto,,Plesiastrea versipora,,,,,,Marine,22 - 31 C,,,,0,,,,,,,,,,,"Oborník, M., Vancová, M., Lai, D.-H., Janouškovec, J., Keeling, P. J., & Lukeš, J. (2011). Morphology and ultrastructure of multiple life cycle stages of the photosynthetic relative of Apicomplexa, Chromera Velia. Protist, 162(1), 115–130. https://doi.org/10.1016/j.protis.2010.02.004","Cumbo, V. R., Baird, A. H., Moore, R. B., Negri, A. P., Neilan, B. A., Salih, A., van Oppen, M. J. H., Wang, Y., & Marquis, C. P. (2013). Chromera Velia is endosymbiotic in larvae of the reef corals Acropora digitifera and A. tenuis. Protist, 164(2), 237–244. https://doi.org/10.1016/j.protis.2012.08.003"
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Colpodellaceae,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellaceae,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Colpodellida_CHR1;Colpodellida_CHR1_X;Colpodellida_CHR1_X_sp.;,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellida_CHR1,Colpodellida_CHR1_X,Colpodellida_CHR1_X_sp., ,2 flagella,myzocytosis; predate or parasitize other protists,,Elongated,,,,,zig-zag via posterior flagellum,,,,,,,,,"flagella finds prey cell (other protist), prey stops moving, cytoplasmic bridge forms, preys contents sucked into digestive vacuole",,,,,,,,,,round resting cysts ,longitudinal fission/fission of a cyst containing four daughters. flagella duplicates in mother cell and oblique-transversal fission occurs,,,,,"Mylnikov, A. P., 2009. Ultrastructure and Phylogeny of Colpodellids ",,,,,,
Eukaryota;Alveolata;Ciliophora,Eukaryota,Alveolata,Ciliophora,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;Armophorea;Armophorea_X,Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,Anaerobic,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;Armophorea;Armophorea_X;Caenomorphidae;Caenomorpha;Caenomorpha_sp.;,Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Caenomorphidae,Caenomorpha,Caenomorpha_sp.,formerly assigned to the class Heterotrichia,"anaerobic or microaerophilic, hydrogenosome",,,,,,,,,,,,In the hindguts of arthropods,,Endo,Produce hydrogen for methanogens,Methanomicrobia is methanogenic symbiont ,,,,,Anaerobic,,,,,,1,,,,,"15m under anoxic boundary and near upper H2S boundary. Edgecomb V, Pachiadaki M (2014). Ciliates along Oxyclnes of Permanently Stratified Marine Water Columns. ",,,,,,,"van Hoek, et al. 2000. Multiple Acquisition of Methanogenic Archaeal Symbionts by Anaerobic Ciliates, Molecular Biology and Evolution, Volume 17, Issue 2, February 2000, Pages 251–258,"
Eukaryota;Alveolata;Ciliophora;Armophorea;Armophorea_X;Metopidae;Metopus_1;Metopus_sp.;,Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Metopidae,Metopus_1,Metopus_sp.,"Class: Polyhymenophora, Subclass: Spirotricha, Order: Heterotrichida",,Phagotrophic,Naked,Elongated or round,0,Asymmetrical,Heteropolar,None,Swimmer,0,Phagotrophic,Cruise feeder,,,Endo,,Methanomicrobia is methanogenic symbiont ,,,,,Anaerobic/microaerophilic,,,,,,1,,,,,"Anoxic, hypersaline+anoxic, anoxic+sulfidic. Edgecomb V, Pachiadaki M (2014). Ciliates along Oxyclnes of Permanently Stratified Marine Water Columns. ",,,,,,,
Eukaryota;Alveolata;Ciliophora;Cariacotrichea;Cariacotrichea_X;Cariacotrichea_XX;Cariacotrichea_XXX;Cariacotrichea_XXX_sp.;,Eukaryota,Alveolata,Ciliophora,Cariacotrichea,Cariacotrichea_X,Cariacotrichea_XX,Cariacotrichea_XXX,Cariacotrichea_XXX_sp.,,,,Naked,Elongated ,0,Asymmetrical,Heteropolar,None,Swimmer,0,Phagotrophic,Cruise feeder,,No,,,,,,,,Anaerobic ,36.2,17C,900m,,,0,,,,,,,,,,,"Orsi, William et al. 2012. Class Cariacotrichea, a novel ciliate taxon from the anoxic Cariaco Basin, Venezuela. International Journal of Systematic and Evolutionary Microbiology.  ",
Eukaryota;Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Protocruziidae;Protocruzia,Eukaryota,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Protocruziidae,Protocruzia,NA,"Debated=>Class: Spirotrichea, Order: Protocruziida. Argued that it may deserve its own class. Placed as incertae sedis. ",,,Naked,Elongated,0,Asymmetrical,Heteropolar,None,Swimmer,0,Phagotrophic,Cruise feeder,,No,,,,,,,,,,,,,,0,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;Colpodea;Colpodea_X,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;Colpodea;Colpodea_X;Colpodida,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 occurrences in methane seep,,,,,,,,
Eukaryota;Alveolata;Ciliophora;Colpodea;Colpodea_X;Cyrtolophosidida,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,NA,NA,Order: Cyrtolophosidida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;CONTH_2;CONTH_2_X;CONTH_2_XX;CONTH_2_XXX;CONTH_2_XXX_sp.;,Eukaryota,Alveolata,Ciliophora,CONTH_2,CONTH_2_X,CONTH_2_XX,CONTH_2_XXX,CONTH_2_XXX_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;CONTH_6;CONTH_6_X;CONTH_6_XX;CONTH_6_XXX;CONTH_6_XXX_sp.;,Eukaryota,Alveolata,Ciliophora,CONTH_6,CONTH_6_X,CONTH_6_XX,CONTH_6_XXX,CONTH_6_XXX_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;CONTH_8;CONTH_8_X;CONTH_8_XX;CONTH_8_XXX;CONTH_8_XXX_sp.;,Eukaryota,Alveolata,Ciliophora,CONTH_8,CONTH_8_X,CONTH_8_XX,CONTH_8_XXX,CONTH_8_XXX_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X,Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,NA,NA,NA,"CONThreeP consists of colpodeans, oligohymenophoreans, nassophoreans, phyllopharygeans, protostomateans, and plagiopyleans. Clustered by genetic features rather than morphological features. (Lynn, 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX,Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,CONThreeP_XX,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
